Phylum	Type
p__Chloroflexi	HMA
p__Acidobacteria	HMA
p__Actinobacteria	HMA
p__PAUC34f	HMA
p__Gemmatimonadetes	HMA
p__SBR1093	HMA
p__Poribacteria	HMA
p__AncK6	HMA
p__Nitrospirae	HMA
p__Spirochaetes	HMA
p__Thermi	HMA
p__Caldithrix	LMA
p__Chlorobi	LMA
p__Elusimicrobia	LMA
p__NKB19	LMA
p__OP11	LMA
p__OP3	LMA
p__ZB3	LMA
p__WS3	LMA
p__WS5	LMA
p__Tenericutes	LMA
p__Euryarchaeota	LMA
p__TM6	LMA
p__SAR406	LMA
p__Chlamydiae	LMA
p__Firmicutes	LMA
p__Planctomycetes	LMA
p__Bacteroidetes	LMA
p__Proteobacteria	LMA
