"","Chemical.class","Standard.match"
"HILIC-neg_Cluster_0622","Harmala alkaloids","1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid"
"C18-neg_Cluster_0183",NA,"1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid"
"C18-neg_Cluster_0393","Long-chain fatty acids","12.13-diHOME"
"HILIC-neg_Cluster_0480","Imidazopyrimidines","1-3-7-trimethylurate"
"C18-neg_Cluster_0530","Very long-chain fatty acids","13-docosenoate"
"HILIC-pos_Cluster_0245","Imidazopyrimidines","1-methylguanine"
"HILIC-pos_Cluster_0110","Pyridinecarboxylic acids and derivatives","1-methylnicotinamide"
"HILIC-neg_Cluster_0032","L-alpha-amino acids","2-aminobutyric acid"
"HILIC-pos_Cluster_0728","Purine nucleosides","2-deoxyadenosine"
"HILIC-neg_Cluster_0113","Hydroxy fatty acids","2-hydroxy-3-methylpentanoic acid /  leucinic acid"
"HILIC-neg_Cluster_0169","Hydroxy acids and derivatives","2-hydroxyglutarate"
"C18-neg_Cluster_0219",NA,"2-hydroxyhexadecanoate"
"C18-neg_Cluster_0144","Long-chain fatty acids","2-hydroxymyristic acid"
"HILIC-pos_Cluster_0114","Organonitrogen compounds","2-hydroxyphenethylamine"
"HILIC-neg_Cluster_0161","Methyl-branched fatty acids","2-methylglutaric acid"
"HILIC-neg_Cluster_0220","Medium-chain fatty acids","3-methyladipate-pimelate"
"HILIC-pos_Cluster_0272","Histidine and derivatives","3-methylhistidine"
"HILIC-pos_Cluster_0254","Imidazopyrimidines","3-methylxanthine"
"HILIC-pos_Cluster_0150","Gamma amino acids and derivatives","4-guanidinobutanoic acid"
"HILIC-pos_Cluster_0177","Alkyl-phenylketones","4-hydroxy-3-methylacetophenone"
"HILIC-neg_Cluster_0079","Hydroxybenzaldehydes","4-hydroxybenzaldehyde"
"C18-neg_Cluster_0004","Styrenes","4-hydroxystyrene"
"HILIC-neg_Cluster_0084","Phenols","4-methylcatechol"
"HILIC-neg_Cluster_0133","Nitrophenols","4-nitrophenol"
"HILIC-neg_Cluster_0335","Pyridines and derivatives","4-pyridoxate"
"HILIC-pos_Cluster_0422","Organonitrogen compounds","5-acetylamino-6-amino-3-methyluracil"
"HILIC-pos_Cluster_1370",NA,"5alpha-cholestanol"
"C8-pos_Cluster_0100","Fatty acid methyl esters","7-hexadecenoic acid methyl ester"
"C18-neg_Cluster_0901",NA,"7-ketodeoxycholate"
"HILIC-pos_Cluster_0246","Imidazopyrimidines","7-methylguanine"
"HILIC-pos_Cluster_0914","Purine nucleosides","8-hydroxy-deoxyguanosine"
"C18-neg_Cluster_0394","Long-chain fatty acids","9.10-diHOME"
"C18-neg_Cluster_0025","Organic sulfuric acids and derivatives","acesulfame"
"HILIC-neg_Cluster_0232","Organic sulfuric acids and derivatives","acesulfame"
"HILIC-neg_Cluster_0103","N-acyl-L-alpha-amino acids","acetylalanine"
"HILIC-pos_Cluster_0152","Quaternary ammonium salts","acetylcholine"
"C18-neg_Cluster_0090","Amino acids, peptides, and analogues","acetytyrosine"
"HILIC-neg_Cluster_0120","Purines and purine derivatives","adenine"
"HILIC-pos_Cluster_0447","Arginine and derivatives","ADMA"
"HILIC-pos_Cluster_0446","Arginine and derivatives","ADMA/SDMA*"
"C18-neg_Cluster_0506","Very long-chain fatty acids","adrenic acid"
"HILIC-pos_Cluster_0008","Amino acids, peptides, and analogues","alanine"
"HILIC-neg_Cluster_0015","Amino acids, peptides, and analogues","alanine"
"HILIC-neg_Cluster_0034",NA,"alpha-hydroxybutyrate"
"HILIC-neg_Cluster_0159","Gamma-keto acids and derivatives","alpha-ketoglutarate"
"HILIC-neg_Cluster_0062","Keto acids and derivatives","alpha-ketoisovalerate"
"C18-neg_Cluster_0244","Lineolic acids and derivatives","alpha-linolenic acid"
"C18-neg_Cluster_0927",NA,"alpha-muricholate"
"HILIC-pos_Cluster_0667","Peptidomimetics","anserine"
"C18-neg_Cluster_0354",NA,"arachidonic acid"
"C18-neg_Cluster_1620",NA,"arachidonic acid"
"C18-neg_Cluster_1941",NA,"arachidonic acid"
"C18-neg_Cluster_0709",NA,"arachidonic acid"
"C18-neg_Cluster_1131",NA,"arachidonic acid"
"HILIC-pos_Cluster_0295","Amino acids, peptides, and analogues","arginine"
"HILIC-neg_Cluster_0290","Amino acids, peptides, and analogues","arginine"
"HILIC-neg_Cluster_0299","Furanones","ascorbate"
"HILIC-pos_Cluster_0099","Asparagine and derivatives","asparagine"
"HILIC-neg_Cluster_0112","Asparagine and derivatives","asparagine"
"HILIC-neg_Cluster_0117","Amino acids, peptides, and analogues","aspartate"
"HILIC-pos_Cluster_0817","Phenylacetamides","atenolol"
"HILIC-neg_Cluster_0365","Fatty acids and conjugates","azelaic acid"
"C18-neg_Cluster_0045","Fatty acids and conjugates","azelate"
"HILIC-pos_Cluster_0009","Amino acids, peptides, and analogues","beta-alanine"
"HILIC-pos_Cluster_0048","Amino acids, peptides, and analogues","betaine"
"C8-pos_Cluster_0515",NA,"beta-sitosterol"
"HILIC-pos_Cluster_2052",NA,"bilirubin"
"HILIC-neg_Cluster_0013","Straight chain fatty acids","butyrate / isobutytare*"
"HILIC-pos_Cluster_0151","Fatty acids and conjugates","butyrobetaine"
"HILIC-pos_Cluster_1374","Acyl carnitines","C14 carnitine"
"C8-pos_Cluster_1303","Cholesteryl esters","C14:0 CE"
"C8-pos_Cluster_1521","Sphingolipids","C14:0 SM"
"HILIC-pos_Cluster_1486","Acyl carnitines","C16 carnitine"
"C8-pos_Cluster_1395","Cholesteryl esters","C16:0 CE"
"C8-pos_Cluster_1375","Cholesteryl esters","C16:0 CE"
"C8-pos_Cluster_1004","Sphingolipids","C16:0 ceramide (d18:1)"
"C8-pos_Cluster_0878","1-acyl-sn-glycero-3-phosphocholines","C16:0 LPC"
"HILIC-pos_Cluster_1684","1-acyl-sn-glycero-3-phosphoethanolamines","C16:0 LPE"
"C8-pos_Cluster_1657","Sphingolipids","C16:0 SM"
"HILIC-pos_Cluster_2293","Sphingolipids","C16:0 SM"
"C8-pos_Cluster_1369","Cholesteryl esters","C16:1 CE"
"C8-pos_Cluster_1386","Cholesteryl esters","C16:1 CE*"
"HILIC-pos_Cluster_1773","1-(1Z-alkenyl)-glycero-3-phosphocholines","C16:1 LPC plasmalogen*"
"C8-pos_Cluster_0354","1-monoacylglycerols","C16:1 MAG"
"C8-pos_Cluster_0313","1-monoacylglycerols","C16:1 MAG*"
"C8-pos_Cluster_1647",NA,"C16:1 SM"
"HILIC-pos_Cluster_1593","Acyl carnitines","C18 carnitine"
"C8-pos_Cluster_1525","Cholesteryl esters","C18:0 CE"
"C8-pos_Cluster_1502","Cholesteryl esters","C18:0 CE"
"C8-pos_Cluster_0949","1-acyl-sn-glycero-3-phosphocholines","C18:0 LPC"
"HILIC-pos_Cluster_1899","1-acyl-sn-glycero-3-phosphocholines","C18:0 LPC"
"C8-pos_Cluster_0467","1-monoacylglycerols","C18:0 MAG"
"C8-pos_Cluster_0446","1-monoacylglycerols","C18:0 MAG"
"C8-pos_Cluster_1758","Sphingolipids","C18:0 SM"
"C8-pos_Cluster_0338","Monoalkylglycerols","C18:0e MAG"
"C8-pos_Cluster_0410","Monoalkylglycerols","C18:0e MAG"
