Class	Type
c__SAR202	HMA
c__Anaerolineae	HMA
c__Acidimicrobiia	HMA
c__Acidobacteria.6	HMA
c__Sva0725	HMA
c__Gemm.2	HMA
c__Deltaproteobacteria	HMA
c__TK17	HMA
c__EC214	HMA
c__Solibacteres	HMA
c__Nitrospira	HMA
c__Rhodothermi	HMA
c__PAUC37f	HMA
c__Spirochaetes	HMA
c__Ktedonobacteria	HMA
c__BPC102	HMA
c__Thermi.Deinococci	HMA
c__Acidobacteria.5	HMA
c__EC1113	HMA
c__S085	HMA
c__Gemm.4	HMA
c__SHA.26	HMA
c__PBS.25	LMA
c__Caldithrixae	LMA
c__Methylacidiphilae	LMA
c__028H05.P.BN.P5	LMA
c__Elusimicrobia	LMA
c__vadinHA49	LMA
c__koll11	LMA
c__TA18	LMA
c__BD4.9	LMA
c__F38	LMA
c__Thermomicrobia	LMA
c__BME43	LMA
c__BD7.11	LMA
c__Spartobacteria	LMA
c__RB25	LMA
c__Chloracidobacteria	LMA
c__Ellin6529	LMA
c__BS119	LMA
c__PRR.12	LMA
c__Mollicutes	LMA
c__Sphingobacteriia	LMA
c__SBRH58	LMA
c__A712011	LMA
c__Verruco.5	LMA
c__4C0d.2	LMA
c__Pla3	LMA
c__Epsilonproteobacteria	LMA
c__Thermoplasmata	LMA
c__SJA.4	LMA
c__DA052	LMA
c__AB16	LMA
c__OM190	LMA
c__Chlamydiia	LMA
c__Verrucomicrobiae	LMA
c__Cytophagia	LMA
c__Phycisphaerae	LMA
c__Saprospirae	LMA
c__Actinobacteria	LMA
c__Planctomycetia	LMA
c__Flavobacteriia	LMA
c__Betaproteobacteria	LMA
c__Alphaproteobacteria	LMA
